# Graph from fig10.png, CMS CL median expected limit

m0(GeV) m12(GeV)
------   --------
139.5	668.0
172.6	666.3
197.5	664.5
243.0	661.1
276.2	657.6
321.8	652.4
359.1	648.9
417.1	643.7
450.2	638.5
483.4	633.3
529.0	628.1
582.8	617.7
620.1	612.4
653.3	607.2
682.3	602.0
740.3	591.6
769.3	586.4
790.0	581.2
823.2	572.5
877.0	555.2
901.9	546.5
926.7	539.5
951.6	530.9
972.3	523.9
1017	508.3
1038	499.6
1059	492.7
1084	480.5
1104	473.6
1138	456.2
1154	449.3
1175	438.8
1196	430.2
1220	418.0
1250	404.1
1274	393.7
1320	371.1
1366	350.3
1395	341.6
1428	329.5
1453	322.5
1511	310.4
1535	306.9
1569	303.4
1606	301.7
1631	301.7
1676	301.7
1709	301.7
1759	301.7
1796	301.7
1846	299.9
1888	299.9
1929	299.9
1975	299.9
2020	299.9
2053	299.9
2099	299.9
2136	299.9
2194	299.9
2252	299.9
2306	299.9
2372	298.2
2418	298.2
2468	298.2
2542	296.5
2580	296.5
2621	296.5
2658	296.5
2720	296.5
2758	296.5
2808	296.5
2841	296.5
2890	293.0
2924	293.0
2965	293.0
3002	293.0
