# Graph from fig10.png, CMS CL observed limit

m0(GeV) m12(GeV)
------   --------
132.2	633.0
190.0	629.5
264.4	624.3
314.0	620.8
367.7	617.3
421.4	612.1
479.3	606.9
528.9	600.0
574.3	594.7
628.0	586.0
681.8	575.6
731.4	563.4
780.9	553.0
814.0	544.3
859.5	528.6
904.9	511.3
950.4	493.9
995.8	478.2
1028	467.8
1057	457.3
1107	440.0
1165	422.6
1202	408.6
1214	34.78
1247	393.0
1289	380.8
1334	366.9
1396	351.3
1446	340.8
1512	330.4
1578	325.2
1640	323.4
1702	323.4
1756	323.4
1814	320.0
1880	320.0
1942	318.2
2008	314.7
2066	314.7
2107	313.0
2161	311.3
2210	309.5
2280	309.5
2330	306.0
2396	304.3
2446	302.6
2495	302.6
2566	300.8
2623	300.8
2669	299.1
2714	299.1
2752	299.1
2801	299.1
2855	299.1
2913	299.1
2966	299.1
2999	299.1
